gene	1	2	3	4	5	15	16	17	18	19	20	21	22	24	25	26	27	23	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
SMU.01	2647	2653	2071	1671	2437	1820	2237	1854	2112	3234	3518	2226	2065	2648	2000	1701	1849	2391	2270	4820	3896	3848	3425	3916	4655	2467	2948	2303	2984	2698	2004	642	3689	2027	1564	741	845	779	1916	2097	765	115	1712	1885	987	1475
SMU.02	2115	2553	1974	1162	2467	1578	2101	1873	2134	3007	3142	1760	1710	1841	1354	1119	973	2400	2322	3812	3054	2859	2656	4234	4885	2983	3401	2771	3681	3320	2077	1669	4064	2770	1312	519	645	803	1674	2016	616	438	1504	1532	810	1071
SMU.05	377	423	241	259	388	306	393	305	312	445	506	245	212	302	201	213	210	298	245	561	449	482	482	472	621	242	298	256	333	326	267	171	579	360	119	60	72	91	213	228	96	52	171	399	190	284
SMU.06	6543	5999	3597	5403	6749	7482	8123	6902	5898	6081	6628	6395	5915	8119	6517	5005	5663	5195	5034	19532	16760	16391	14223	12356	14185	6464	8089	6632	8328	7505	4030	3306	8005	5617	4189	2227	2807	1343	3351	3646	2297	1639	4677	4254	2496	3921
SMU.07	1378	1493	739	949	1216	1307	1666	1418	1540	1602	1894	862	935	1553	1257	778	830	1130	957	2480	2191	1985	1857	2073	2343	807	841	669	884	884	691	142	1320	407	435	213	267	181	488	553	181	33	428	450	261	471
SMU.08	8438	9698	5947	3114	5843	6221	7409	6889	6334	10090	10760	5320	5149	8579	6535	4283	3695	7245	6113	11189	9571	9138	8114	12971	14091	3833	3836	2752	3567	3780	3577	587	6847	1991	2200	1126	1441	697	1782	2096	693	164	2002	1401	873	1531
SMU.09	3239	2839	1874	1383	2081	2185	2499	2264	2320	3557	3835	2657	2358	2704	2009	1991	1783	2899	2202	4083	3433	3454	2804	3294	3857	299	259	139	229	231	1111	55	2195	132	704	413	392	98	400	447	201	27	546	228	144	328
SMU.10	2723	2577	1419	599	1953	1895	2729	2236	2123	3207	3699	2150	1916	2218	1490	1595	1422	3259	2422	2823	2321	2180	1842	4104	4687	354	288	175	232	319	1177	62	2276	143	497	330	291	76	322	340	150	23	495	179	112	264
SMU.11	1075	825	107	18	680	632	1032	894	929	874	913	224	183	231	235	191	125	1026	800	208	145	156	145	1498	1626	126	104	64	93	112	435	23	735	61	45	32	34	11	47	42	28	6	113	51	21	55
SMU.12	6005	6030	4010	2512	4731	4936	6216	5505	5306	7230	7675	5337	4747	5480	4165	3750	3617	5899	5280	9877	8423	8110	7178	9560	10941	1894	1733	1167	1395	1580	3341	656	6365	1148	1617	910	1076	479	1373	1580	575	155	1733	986	589	1026
SMU.13	3897	3873	2152	1666	3378	3266	4212	4420	3875	4752	5379	3080	2852	3512	2565	2392	2526	4160	3863	4875	4204	3910	3509	6354	7320	2147	2251	1748	2165	2108	1870	517	3733	1342	1019	522	629	418	1128	1382	447	185	1005	1017	544	1074
SMU.14	5638	6533	3042	2380	5685	5332	6851	6220	5189	5628	5867	4782	4450	5127	4187	3676	3607	5746	5673	11690	9626	9477	8316	11208	13524	5660	6877	6198	7910	6378	3442	2016	6303	4993	2237	1319	1472	1032	2705	2896	1498	824	3161	3408	1930	3137
