gene	4	5	15	16	17	18
SMU109_00005	21116	19253	20993	22834	18141	16273
SMU109_00010	57839	49319	57816	60118	52059	45548
SMU109_00015	15559	24983	24180	31438	24393	20555
SMU109_00020	187	1557	1028	2127	1381	1488
SMU109_00025	155	197	237	262	199	250
SMU109_00030	2644	2753	2856	3412	2847	3357
SMU109_00035	8906	9903	9199	9994	8571	13321
SMU109_00040	6417	9873	8283	10686	8216	12124
SMU109_00045	9891	9908	8468	9514	8295	11018
SMU109_00050	910	2004	1923	1905	1384	1430
SMU109_00055	2024	1888	2223	1846	1444	1624
SMU109_00060	2813	3828	3343	4242	2882	3384
SMU109_00065	3367	3448	2691	2889	3013	3066
SMU109_00070	3633	4271	3676	4115	3989	4080
SMU109_00075	891	3030	2265	3559	2413	2643
SMU109_00080	6571	8059	9403	10968	8198	6336
SMU109_00085	16030	12565	15338	14144	11769	9282
SMU109_00090	9100	8877	10925	11601	9261	7145
SMU109_00095	3101	3427	4076	4359	3669	3049
SMU109_00100	972	1849	1425	1414	1332	1697
SMU109_01828	5053	4468	3694	3981	3218	5706
SMU109_01833	1906	1782	1289	1439	1163	2206
SMU109_01838	35	46	29	45	28	35
SMU109_01843	743	1018	709	834	667	829
SMU109_01848	5208	7252	4405	5192	4173	5718
SMU109_01853	983	1541	1140	1392	1319	1665
SMU109_01858	2286	2927	2084	2462	1954	2442
SMU109_01863	1215	1917	1527	1632	1399	1677
SMU109_01868	354	510	438	452	347	506
SMU109_01873	0	0	0	0	0	0
SMU109_01878	2526	4180	3322	3761	2774	3075
SMU109_01883	218	232	211	206	166	226
SMU109_01888	97	198	177	184	142	213
SMU109_09886	1	3	1	2	3	5
SMU109_09891	713	899	674	876	760	979
SMU109_09896	2611	2728	1954	2201	2036	3320
SMU109_09901	1420	1752	1363	1662	1584	2526
SMU109_09906	937	1395	1030	1368	1252	1885
SMU109_09911	67303	71812	50827	53340	46183	51853
SMU109_09916	7847	10731	8357	10158	8539	8238
SMU109_09921	4499	5179	5243	6226	5813	4831
SMU109_09926	153	117	93	105	75	120
SMU109_09942	0	0	0	0	0	0
SMU109_09957	0	0	0	0	0	0
SMU109_09962	0	0	0	0	0	0
SMU109_09967	7594	6575	6195	6485	5981	7403
SMU109_09972	11493	15251	12964	16195	12558	11073
SMU109_09977	0	0	0	0	0	0
SMU109_09982	0	0	0	0	0	0
SMU109_01893	8830	7233	6624	7057	6022	6856
SMU109_01898	23074	24815	20105	22927	20417	23695
SMU109_01903	6105	5471	5737	6015	5789	6081
SMU109_01908	218	385	387	463	336	406
SMU109_01913	2322	2863	2381	2749	2098	2388
SMU109_01918	4665	6189	7257	7371	6236	6316
SMU109_01923	9298	12819	12306	13858	11318	12093
SMU109_01928	2887	3105	2604	2668	2152	3517
SMU109_01933	21134	26200	23297	27788	26049	26262
SMU109_01938	10457	11009	11500	12155	9248	10134
SMU109_01943	5834	6888	7253	7185	5746	6285
SMU109_01948	5997	6248	7731	8123	6939	5991
SMU109_01953	2600	2905	3638	3821	3139	3077
SMU109_01958	4945	5266	6032	6556	5289	5940
SMU109_01963	13345	10570	10218	10365	8410	11187
SMU109_01968	27004	27055	21985	24719	19941	24700
SMU109_01973	510	1180	746	1195	959	1117
SMU109_01978	2736	2548	2096	2417	2397	3116
SMU109_01983	1565	1854	1431	1638	1563	2053
SMU109_01988	5373	4905	3746	4550	3704	4836
SMU109_01993	1728	1632	1044	1485	1205	1538
SMU109_01998	620	433	410	519	362	435
SMU109_02003	375	590	375	418	381	467
SMU109_02008	3909	2724	2034	2291	1488	2657
SMU109_02013	2092	1122	864	1006	718	1310
SMU109_02018	2664	2031	1487	1671	1257	2460
SMU109_02023	2041	2867	1009	1202	1260	3001
SMU109_02028	312	408	309	338	285	296
SMU109_02033	34	686	30	49	181	114
SMU109_02038	17	332	43	35	86	73
SMU109_02043	10098	9621	7129	9345	6939	12252
SMU109_02048	815	2109	2101	2555	2121	1632
SMU109_02053	4239	4812	4500	4465	4178	3587
SMU109_02058	94	104	104	107	108	106
SMU109_02063	212	999	776	1163	752	1017
SMU109_02068	1110	2283	1569	1722	1426	1895
SMU109_02073	1246	2219	1564	2002	1579	2078
SMU109_02078	230	631	366	425	354	491
SMU109_02083	883	700	620	633	446	542
SMU109_02088	505	703	630	721	554	533
SMU109_02093	1094	1283	1281	1307	1014	1307
SMU109_02098	0	0	0	0	0	0
SMU109_02103	0	0	0	0	0	0
SMU109_02108	0	0	0	0	0	0
SMU109_02113	0	0	0	0	0	0
SMU109_02118	0	0	0	0	0	0
SMU109_02123	0	0	0	0	0	0
SMU109_02128	7447	5922	6357	6579	4638	4239
SMU109_02133	30	32	28	48	43	29
SMU109_02138	103	608	287	538	402	968
SMU109_02143	297	603	577	697	534	1116
SMU109_02148	851	865	703	754	617	1516
SMU109_02153	725	830	515	630	494	1416
SMU109_02158	2128	2331	1953	2193	1741	1727
SMU109_02163	2697	2618	2544	2677	2538	2252
SMU109_02168	4544	4991	4977	5549	4721	4821
SMU109_02173	4704	4525	3973	4293	3696	5434
SMU109_02178	3014	3536	3447	4035	3378	3807
SMU109_02183	8084	8844	7602	8798	7704	9055
SMU109_02188	2090	2706	1912	3063	2553	2531
SMU109_02193	2031	2321	2925	3335	2944	3109
SMU109_02198	1485	1892	2452	3077	2736	2563
SMU109_02203	248	1283	1245	1591	1420	1685
SMU109_02208	2246	2182	1703	2032	1865	2385
SMU109_02213	501	563	494	620	514	838
SMU109_02218	2358	3414	2890	3682	3307	2856
SMU109_02223	310	482	379	435	348	191
SMU109_02228	1759	1909	1943	1845	1637	960
SMU109_02233	739	690	775	697	626	454
SMU109_02238	1039	1302	1209	1167	1093	846
SMU109_02243	775	1043	900	921	807	657
SMU109_02248	566	829	748	740	694	603
SMU109_02253	1439	1794	1605	1493	1397	1330
SMU109_02258	731	1266	1017	962	990	931
SMU109_02263	88	228	116	145	145	173
SMU109_02268	22773	32057	28981	35418	28671	43278
SMU109_02273	1317	1433	2016	1883	1698	1516
SMU109_02278	7347	7408	7728	7846	6499	6035
SMU109_02283	2718	3883	4024	4730	3709	3169
SMU109_02288	32137	33946	29995	33836	25637	32458
SMU109_02293	3819	4479	4139	4317	3553	4272
SMU109_02298	7631	8068	6845	7525	6758	10721
SMU109_02303	4891	8212	6267	7858	7110	11259
SMU109_02308	5522	8250	7143	8306	7299	11767
SMU109_02313	28250	25452	21041	23124	19723	23979
SMU109_02318	39549	37993	30744	34953	29616	36730
SMU109_02323	21187	21363	19181	21729	19116	22197
SMU109_02328	25338	22971	20494	20579	19437	23123
SMU109_02333	765	5188	3900	7710	6220	6775
SMU109_02338	17401	22819	22405	28007	25196	28951
SMU109_02343	19952	22547	21677	25343	22600	26038
SMU109_02348	9907	14365	11141	13902	13867	13477
SMU109_02353	82	206	141	205	174	172
SMU109_09987	0	0	0	0	0	0
SMU109_09992	0	0	0	0	0	0
SMU109_09997	0	0	0	0	0	0
SMU109_10007	528	801	699	881	610	652
SMU109_10012	1700	1358	1299	1086	864	1010
SMU109_10017	994	1559	1493	1923	1379	1230
SMU109_10022	0	0	0	0	0	0
SMU109_10041	0	6	4	2	5	4
SMU109_10046	0	0	0	0	0	0
SMU109_10051	429	311	328	276	270	272
SMU109_10056	15	30	14	35	17	15
SMU109_02358	3461	3369	2312	2534	1976	3101
SMU109_02363	2043	3132	2263	2840	2458	3908
SMU109_02368	4618	3769	2930	3062	2894	4562
SMU109_02373	5196	6602	5455	6542	4758	8033
SMU109_02378	3549	4338	3219	3821	3494	4848
SMU109_02383	7224	6957	5524	6639	6493	9057
SMU109_02388	3514	3926	3157	3824	3481	5463
SMU109_02393	5746	5257	4454	5101	4787	8267
SMU109_02398	2016	2213	1747	2134	1901	3295
SMU109_02403	66	61	63	69	50	79
SMU109_02408	754	916	691	874	686	1036
SMU109_02413	663	807	582	732	585	775
SMU109_02418	10074	14767	11119	14719	11719	16013
SMU109_02423	11351	16213	16702	18841	17171	20763
SMU109_02428	2000	4091	4068	4886	4556	5537
SMU109_02433	5888	10937	9532	14685	12140	13854
SMU109_02438	17655	18725	17037	19737	16935	19838
SMU109_02443	165	1114	1082	1788	1372	1544
SMU109_02448	6712	8588	10340	11966	9994	14059
SMU109_02453	10643	12849	10923	11965	10620	11398
SMU109_02458	474	1943	1376	2253	1925	2219
SMU109_02463	2	2	2	4	4	5
SMU109_02468	0	0	0	0	0	0
SMU109_02473	0	0	0	0	0	0
SMU109_02478	1235	1080	752	877	774	1168
SMU109_02483	4099	3998	2759	2971	2536	3886
SMU109_02488	682	878	628	757	695	1093
SMU109_02493	102	445	287	415	354	505
SMU109_02498	1433	1815	2070	2587	1839	2326
SMU109_02503	603	1508	1490	2186	1593	2116
SMU109_02508	522	394	338	324	255	267
SMU109_02513	349	620	509	571	464	463
SMU109_02518	595	823	656	785	590	689
SMU109_02523	618	1012	834	1026	410	835
SMU109_02528	10332	11268	7641	9097	7703	13868
SMU109_02533	4906	8010	4651	6225	5503	9097
SMU109_02538	511	906	1085	1349	1082	823
SMU109_02543	4480	3848	4389	4365	3720	3350
SMU109_02548	3051	3033	4259	4329	3750	3430
SMU109_02553	3052	4075	4735	5249	4657	4498
SMU109_02558	2490	2694	3894	4316	3826	3760
SMU109_02563	2135	2464	2615	3092	2671	2637
SMU109_02568	4500	4371	4978	5532	4912	5259
SMU109_02573	6139	7430	9385	9949	9388	9445
SMU109_02578	5138	6834	7750	8818	8072	8302
SMU109_02583	3611	5175	5193	6435	4816	6059
SMU109_02588	2814	3780	3376	4063	3374	3995
SMU109_02593	7131	10659	7758	9802	8751	14043
SMU109_02598	10323	8021	6685	7636	6838	10910
SMU109_02603	1168	1810	1421	1748	1512	1758
SMU109_02608	154	269	112	216	179	332
SMU109_02613	5007	5664	3878	4565	4173	4663
SMU109_02618	3235	4233	4035	4862	3882	4127
SMU109_02623	12840	14025	13390	15318	12266	14163
SMU109_02628	1216	1608	1748	1763	1471	1776
SMU109_02633	7891	8845	7169	8503	6306	9173
SMU109_02638	5661	5276	4885	5578	4204	6059
SMU109_02643	5944	8964	8311	10310	8574	10740
SMU109_02648	11144	14210	14167	15894	10951	12230
SMU109_02653	15563	17373	18514	20547	14640	16468
SMU109_02658	22751	24875	26127	28513	20639	23241
SMU109_02663	12911	11164	11265	11695	8948	9573
SMU109_02668	8132	9493	10126	11348	8280	8535
SMU109_02673	24306	24694	26066	25964	18979	21028
SMU109_02678	11012	12284	13845	15115	10286	10383
SMU109_02683	15951	15829	18250	19934	13730	14386
SMU109_02688	17687	18621	19950	20971	14608	15026
SMU109_02693	1145	4692	5099	7227	4988	4459
SMU109_02698	10378	11907	15025	16184	11027	10443
SMU109_02703	11163	10516	12673	12373	8774	8709
SMU109_02708	16235	15440	18746	19354	15170	20838
SMU109_02713	347	464	537	533	482	453
SMU109_02718	3373	4149	3059	3380	3217	3403
SMU109_10071	0	0	0	0	0	0
SMU109_10083	2	4	11	6	9	12
SMU109_10098	222	106	42	48	39	49
SMU109_02723	83	70	47	66	48	59
SMU109_02728	425	295	286	288	272	291
SMU109_02733	260	177	146	138	139	168
SMU109_02738	86	79	83	80	78	80
SMU109_02743	892	837	684	800	739	1105
SMU109_02748	9817	10228	9146	10876	8965	12195
SMU109_02753	7027	7331	7123	7938	6566	8013
SMU109_02758	3146	3542	2950	2987	2261	3618
SMU109_02763	477	363	279	344	262	515
SMU109_10103	31913	48399	32001	46145	37095	38752
SMU109_02768	2093	2736	2128	2434	2266	3086
SMU109_02773	935	964	709	820	789	1019
SMU109_02778	981	1121	839	1057	902	1296
SMU109_02783	737	914	765	847	771	1013
SMU109_02788	426	397	402	410	451	634
SMU109_02793	887	1057	825	970	942	1414
SMU109_02798	1110	1456	1218	1318	1353	1869
SMU109_02803	3054	3163	2418	2666	2185	1991
SMU109_02808	984	1426	1283	1807	1570	1555
SMU109_02813	428	596	685	729	700	705
SMU109_02818	4332	3501	3603	3558	3567	3509
SMU109_02823	8268	10532	9388	10818	9934	10308
SMU109_02828	34644	37086	29147	35610	26959	35018
SMU109_02833	5307	7579	12205	13399	14200	9702
SMU109_02838	3774	6396	9736	11934	12185	8950
SMU109_02843	3083	5310	5094	5820	4749	4579
SMU109_02848	2797	4298	4916	5510	4347	3917
SMU109_02853	5147	6325	7278	7946	6001	5558
SMU109_02858	10748	13089	14902	15097	12768	12496
SMU109_02863	3674	3923	4341	4623	3705	3658
SMU109_02868	7160	8128	8573	9274	7181	7385
SMU109_02873	4768	5509	5627	6136	4805	6000
SMU109_02878	1843	1904	2181	2505	1883	2353
SMU109_02883	223	685	687	880	677	990
SMU109_02888	3100	7597	7360	10063	6767	5749
SMU109_02893	2350	2721	2577	2995	2650	3050
SMU109_02898	1094	1405	1383	1545	1381	1607
SMU109_02903	88	109	102	122	159	114
SMU109_02908	29792	40854	36986	41344	39393	43656
SMU109_02913	3649	4220	3893	4534	3798	3906
SMU109_02918	5179	4809	4825	4939	4420	4772
SMU109_02923	3410	4203	3756	4147	3509	3582
SMU109_02928	4247	5244	4960	5144	4350	4188
SMU109_02933	3736	4692	4483	5081	4316	3899
SMU109_02938	3827	4523	5042	5313	4430	4128
SMU109_02943	1804	2032	2264	2452	2343	1983
SMU109_02948	2740	3129	3088	3371	3014	3107
SMU109_02953	983	1471	1304	1732	1576	1520
SMU109_02958	3775	4984	4834	5055	4683	5025
